keywords,count
all,1
remarkable,1
gp,44
lack,4
results,2
facilities,5
surgical,6
nursery,1
sleep,1
grateful,5
assessment,4
billed,1
issues,1
attentive,6
lternative,1
everything,7
honoring,1
disgusting,1
environment,3
to,31
program,8
freemantle,1
suite,4
friendly,24
sent,1
me,4
allergy,1
appointment,25
without,1
octor,13
psychologist,13
handling,1
fobbed,1
telling,1
utmost,1
surgeon,12
little,1
timely,8
school,2
respiratory,1
skills,4
skeletal,1
compassionate,3
list,1
manager,1
p,12
woods,2
booking,1
team,2
quick,6
cardiologist,1
anaesthetist,2
ealing,1
round,1
clients,1
tea,1
feeling,8
rbwh,1
nger,1
professionalism,2
second,1
cost,2
nightin,1
uncomfortable,1
further,1
ctor,20
inanimate,1
sue,1
cleanliness,2
assistance,3
cooking,2
caboolture,1
kate,1
access,24
waiting,31
attitudes,4
paramedics,1
morier,1
nurse,42
public,3
exercise,1
specialist,6
full,1
lee,1
clerk,1
understanding,19
behaviour,10
test,1
let,3
healing,2
others,1
miscarriage,1
consideration,1
triage,5
wait,8
great,56
daughter,1
pressure,1
distressed,1
swab,1
aboriginal,2
experience,12
later,1
tv,1
social,5
action,1
opinion,1
changes,3
guidance,3
massage,1
swearing,3
via,1
humour,3
heart,1
private,14
young,1
toys,1
opthalmology,1
unit,2
sarah,2
discuss,1
d'arcy-evans,1
from,13
ccessibility,1
working,3
&,1
positive,1
hospital,141
condidtions,1
negative,1
examination,3
calm,1
injury,2
ttractiveness,1
more,4
sharing,1
infection,3
admissions,1
phone,3
investigation,5
excellent,61
baby,6
ward,26
hold,2
customer,3
valued,1
room,2
work,3
cancellations,2
patient's,1
awareness,1
praise,3
post-op,1
meet,1
male,2
my,20
rehabilitation,2
rrogant,1
history,1
control,1
regularly,1
dedicated,2
diabetic,1
prompt,2
nursing,14
scan,3
process,4
awesome,1
allowed,1
high,2
numbers,1
sense,1
station,1
iagnosis,6
charged,1
information,68
comfortable,14
recovery,3
complaining,4
handover,1
travel,1
exceptional,1
rapport,1
compassion,1
run,1
ent,1
get,1
lodge,1
ssessment,7
registrar,1
pediatrician,1
cobwebs,1
rude,3
less,2
ischarged,3
advice,10
after,16
tact,1
physio,1
cardiac,1
monitoring,1
response,4
calms,1
a,13
ombudsman,1
stress,1
short,1
neck,1
non-judgemental,2
communities,1
maybe,1
bugs,1
q,1
gynaecologist,1
eating,2
ambulance,34
discussion,1
cute,1
oncology,1
endoscopy,1
nguish,1
feedback,4
office,1
consent,2
over,2
mission,1
course,2
logan,2
